Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Ricky Williams,Texas,Big 12,11,279,1893,6.8,25,172.1,20,150,7.5,0,13.6,299,2043,6.8,25,1,ricky-williams-4
2,Ahman Green,Nebraska,Big 12,12,278,1877,6.8,22,156.4,14,105,7.5,0,8.8,292,1982,6.8,22,,ahman-green-1
3,Tavian Banks,Iowa,Big Ten,11,246,1639,6.7,17,149.0,18,200,11.1,2,18.2,264,1839,7.0,19,,tavian-banks-1
4,Travis Prentice,Miami (OH),MAC,11,296,1549,5.2,25,140.8,23,138,6.0,0,12.5,319,1687,5.3,25,,travis-prentice-1
5,Amos Zereoue,West Virginia,Big East,10,264,1505,5.7,16,150.5,11,76,6.9,0,7.6,275,1581,5.7,16,,amos-zereoue-1
6,Ron Dayne,Wisconsin,Big Ten,10,249,1421,5.7,15,142.1,10,117,11.7,0,11.7,259,1538,5.9,15,,ron-dayne-1
7,Chris McCoy,Navy,Ind,11,246,1370,5.6,20,124.5,0,0,,0,0.0,246,1370,5.6,20,,chris-mccoy-3
8,Jamal Lewis,Tennessee,SEC,12,232,1364,5.9,7,113.7,23,266,11.6,2,22.2,255,1630,6.4,9,,jamal-lewis-2
9,Curtis Enis,Penn State,Big Ten,11,228,1363,6.0,19,123.9,25,215,8.6,1,19.5,253,1578,6.2,20,,curtis-enis-1
10,Fred Taylor,Florida,SEC,11,214,1292,6.0,13,117.5,24,238,9.9,0,21.6,238,1530,6.4,13,,fred-taylor-2
11,Dwayne Harris,Toledo,MAC,10,254,1278,5.0,10,127.8,16,229,14.3,2,22.9,270,1507,5.6,12,,dwayne-harris-2
12,Autry Denson,Notre Dame,Ind,12,264,1268,4.8,12,105.7,30,175,5.8,1,14.6,294,1443,4.9,13,,autry-denson-1
13,Robert Holcombe,Illinois,Big Ten,11,294,1253,4.3,4,113.9,35,277,7.9,2,25.2,329,1530,4.7,6,,robert-holcombe-1
14,Sedrick Irvin,Michigan State,Big Ten,11,231,1211,5.2,9,110.1,39,339,8.7,4,30.8,270,1550,5.7,13,,sedrick-irvin-1
15,Saladin McCullough,Oregon,Pac-10,11,250,1193,4.8,8,108.5,18,160,8.9,2,14.5,268,1353,5.0,10,,saladin-mccullough-1
16,Michael Black,Washington State,Pac-10,11,235,1157,4.9,11,105.2,15,177,11.8,1,16.1,250,1334,5.3,12,,michael-black-1
17,Kevin Faulk,LSU,SEC,9,205,1144,5.6,15,127.1,16,93,5.8,0,10.3,221,1237,5.6,15,,kevin-faulk-1
18,De'Mond Parker,Oklahoma,Big 12,12,194,1143,5.9,6,95.3,11,140,12.7,0,11.7,205,1283,6.3,6,,demond-parker-1
19,Skip Hicks,UCLA,Pac-10,11,227,1142,5.0,22,103.8,19,336,17.7,3,30.5,246,1478,6.0,25,,skip-hicks-1
20,Tremayne Stephens,North Carolina State,ACC,11,204,1142,5.6,10,103.8,17,147,8.6,0,13.4,221,1289,5.8,10,,tremayne-stephens-1
21,Damon Washington,Colorado State,WAC,12,180,1112,6.2,8,92.7,14,73,5.2,0,6.1,194,1185,6.1,8,,damon-washington-1
