Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,LaMichael James*,Oregon,Pac-10,12,294,1731,5.9,21,144.3,17,208,12.2,3,17.3,311,1939,6.2,24,1,lamichael-james-1
2,Denard Robinson*,Michigan,Big Ten,13,256,1702,6.6,14,130.9,0,0,,0,0.0,256,1702,6.6,14,,denard-robinson-1
3,Mikel Leshoure*,Illinois,Big Ten,13,281,1697,6.0,17,130.5,17,196,11.5,3,15.1,298,1893,6.4,20,,mikel-leshoure-1
4,Jordan Todman*,Connecticut,Big East,12,334,1695,5.1,14,141.3,19,94,4.9,0,7.8,353,1789,5.1,14,,jordan-todman-1
5,Bobby Rainey,Western Kentucky,Sun Belt,12,340,1649,4.9,15,137.4,29,230,7.9,0,19.2,369,1879,5.1,15,,bobby-rainey-1
6,Vai Taua*,Nevada,WAC,13,284,1610,5.7,19,123.8,18,226,12.6,3,17.4,302,1836,6.1,22,,vai-taua-1
7,Daniel Thomas*,Kansas State,Big 12,13,298,1585,5.3,19,121.9,27,171,6.3,0,13.2,325,1756,5.4,19,,daniel-thomas-1
8,Lance Dunbar,North Texas,Sun Belt,12,274,1553,5.7,13,129.4,28,332,11.9,3,27.7,302,1885,6.2,16,,lance-dunbar-1
9,Kendall Hunter*,Oklahoma State,Big 12,13,271,1548,5.7,16,119.1,20,101,5.1,0,7.8,291,1649,5.7,16,,kendall-hunter-1
10,Ronnie Hillman*,San Diego State,MWC,13,262,1532,5.8,17,117.8,9,68,7.6,1,5.2,271,1600,5.9,18,,ronnie-hillman-1
11,Zach Line*,SMU,CUSA,14,244,1494,6.1,10,106.7,17,163,9.6,0,11.6,261,1657,6.3,10,,zach-line-1
12,Cam Newton*,Auburn,SEC,14,264,1473,5.6,20,105.2,2,42,21.0,1,3.0,266,1515,5.7,21,,cam-newton-1
13,Chris Polk*,Washington,Pac-10,13,260,1415,5.4,9,108.8,22,180,8.2,0,13.8,282,1595,5.7,9,,chris-polk-1
14,Bilal Powell*,Louisville,Big East,12,229,1405,6.1,11,117.1,18,158,8.8,3,13.2,247,1563,6.3,14,,bilal-powell-1
15,Chad Spann*,Northern Illinois,MAC,14,258,1388,5.4,22,99.1,9,45,5.0,0,3.2,267,1433,5.4,22,,chad-spann-1
16,Knile Davis*,Arkansas,SEC,13,204,1322,6.5,13,101.7,19,136,7.2,1,10.5,223,1458,6.5,14,,knile-davis-1
17,Rodney Stewart,Colorado,Big 12,12,290,1318,4.5,10,109.8,29,290,10.0,0,24.2,319,1608,5.0,10,,rodney-stewart-1
18,Anthony Allen*,Georgia Tech,ACC,13,240,1316,5.5,7,101.2,3,88,29.3,1,6.8,243,1404,5.8,8,,anthony-allen-1
19,Doug Martin*,Boise State,WAC,13,201,1260,6.3,12,96.9,28,338,12.1,2,26.0,229,1598,7.0,14,,doug-martin-1
20,Roy Helu Jr.*,Nebraska,Big 12,14,188,1245,6.6,11,88.9,5,46,9.2,0,3.3,193,1291,6.7,11,,roy-helu-jr-1
