Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Year
3,Steve Sarkisian,BYU,WAC,11,250,385,64.9,3437,20,5.2,14,3.6,8.9,8.33,13.7,312.5,149.8,,1995
2,Cody Ledbetter,New Mexico State,Big West,11,259,453,57.2,3501,30,6.6,20,4.4,7.7,7.07,13.5,318.3,135.1,,1995
8,Bobby Hoying,Ohio State,Big Ten,12,192,303,63.4,3023,28,9.2,11,3.6,10.0,10.19,15.7,251.9,170.4,1,1995
1,Chris Weinke,Florida State,ACC,12,266,431,61.7,4167,33,7.7,11,2.6,9.7,10.05,15.7,347.3,163.1,1,2000
2,Jared Lorenzen,Kentucky,SEC,11,321,559,57.4,3687,19,3.4,21,3.8,6.6,5.58,11.5,335.2,116.5,,2000
5,Josh Heupel,Oklahoma,Big 12,12,280,433,64.7,3392,20,4.6,14,3.2,7.8,7.3,12.1,282.7,139.2,2,2000
1,Colt Brennan,Hawaii,WAC,12,350,515,68.0,4301,35,6.8,13,2.5,8.4,8.57,12.3,358.4,155.5,,2005
2,Cody Hodges*,Texas Tech,Big 12,12,353,531,66.5,4197,31,5.8,12,2.3,7.9,8.05,11.9,349.8,147.6,,2005
4,Matt Leinart*,USC,Pac-10,13,283,431,65.7,3815,28,6.5,8,1.9,8.9,9.32,13.5,293.5,157.7,3,2005
1,Bryant Moniz*,Hawaii,WAC,14,361,555,65.0,5040,39,7.0,15,2.7,9.1,9.27,14.0,360.0,159.1,,2010
2,Landry Jones*,Oklahoma,Big 12,14,405,617,65.6,4718,38,6.2,12,1.9,7.6,8.0,11.6,337.0,146.3,,2010
3,Brandon Weeden*,Oklahoma State,Big 12,13,342,511,66.9,4277,34,6.7,13,2.5,8.4,8.56,12.5,329.0,154.1,,2010
2,Matt Johnson*,Bowling Green,MAC,14,383,569,67.3,4946,46,8.1,8,1.4,8.7,9.68,12.9,353.3,164.2,,2015
3,Jared Goff*,California,Pac-12,13,341,529,64.5,4719,43,8.1,13,2.5,8.9,9.44,13.8,363.0,161.3,,2015
1,Brandon Doughty*,Western Kentucky,CUSA,14,388,540,71.9,5055,48,8.9,9,1.7,9.4,10.39,13.0,361.1,176.5,,2015
1,Mac Jones*,Alabama,SEC,13,311,402,77.4,4500,41,10.2,4,1.0,11.2,12.79,14.5,346.2,203.1,3,2020
2,Kyle Trask*,Florida,SEC,12,301,437,68.9,4283,43,9.8,8,1.8,9.8,10.95,14.2,356.9,180.0,4,2020
25,Cornelious Brown*,Georgia State,Sun Belt,10,178,304,58.6,2278,17,5.6,10,3.3,7.5,7.13,12.8,227.8,133.4,,2020
