Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Andre Williams*,Boston College,ACC,13,355,2177,6.1,18,167.5,0,0,,0,0.0,355,2177,6.1,18,,andre-williams-2
2,Jordan Lynch*,Northern Illinois,MAC,14,292,1920,6.6,23,137.1,1,17,17.0,1,1.2,293,1937,6.6,24,1,jordan-lynch-1
3,Ka'Deem Carey*,Arizona,Pac-12,12,349,1885,5.4,19,157.1,26,173,6.7,1,14.4,375,2058,5.5,20,,kadeem-carey-1
4,Bishop Sankey*,Washington,Pac-12,13,327,1870,5.7,20,143.8,28,304,10.9,1,23.4,355,2174,6.1,21,,bishop-sankey-1
5,Tre Mason*,Auburn,SEC,14,317,1816,5.7,23,129.7,12,163,13.6,1,11.6,329,1979,6.0,24,,tre-mason-1
6,Kapri Bibbs*,Colorado State,MWC,14,281,1741,6.2,31,124.4,8,59,7.4,0,4.2,289,1800,6.2,31,,kapri-bibbs-1
7,Antonio Andrews,Western Kentucky,Sun Belt,12,267,1730,6.5,16,144.2,41,478,11.7,0,39.8,308,2208,7.2,16,,antonio-andrews-1
8,Tyler Gaffney*,Stanford,Pac-12,14,330,1709,5.2,21,122.1,15,86,5.7,1,6.1,345,1795,5.2,22,,tyler-gaffney-1
9,Ameer Abdullah*,Nebraska,Big Ten,13,281,1690,6.0,9,130.0,26,232,8.9,2,17.8,307,1922,6.3,11,,ameer-abdullah-1
10,Melvin Gordon*,Wisconsin,Big Ten,13,206,1609,7.8,12,123.8,1,10,10.0,0,0.8,207,1619,7.8,12,,melvin-gordon-1
11,Travis Greene*,Bowling Green,MAC,14,279,1594,5.7,11,113.9,18,155,8.6,2,11.1,297,1749,5.9,13,,travis-greene-1
12,Branden Oliver*,Buffalo,MAC,12,310,1535,5.0,15,127.9,25,173,6.9,1,14.4,335,1708,5.1,16,,branden-oliver-1
13,Carlos Hyde*,Ohio State,Big Ten,11,208,1521,7.3,15,138.3,16,147,9.2,3,13.4,224,1668,7.4,18,,carlos-hyde-1
14,James White*,Wisconsin,Big Ten,13,221,1444,6.5,13,111.1,39,300,7.7,2,23.1,260,1744,6.7,15,,james-white-2
15,Jay Ajayi*,Boise State,MWC,13,249,1425,5.7,18,109.6,22,222,10.1,1,17.1,271,1647,6.1,19,,jay-ajayi-1
16,Jeremy Langford*,Michigan State,Big Ten,14,292,1422,4.9,18,101.6,28,157,5.6,1,11.2,320,1579,4.9,19,,jeremy-langford-1
17,Jeremy Hill*,LSU,SEC,12,203,1401,6.9,16,116.8,18,181,10.1,0,15.1,221,1582,7.2,16,,jeremy-hill-2
18,Keenan Reynolds*,Navy,Ind,13,300,1346,4.5,31,103.5,0,0,,0,0.0,300,1346,4.5,31,,keenan-reynolds-1
19,Taysom Hill*,BYU,Ind,13,246,1344,5.5,10,103.4,0,0,,0,0.0,246,1344,5.5,10,,taysom-hill-1
20,Trey Watts,Tulsa,CUSA,12,268,1329,5.0,11,110.8,46,395,8.6,1,32.9,314,1724,5.5,12,,trey-watts-1
