Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Year
2,Cody Ledbetter,New Mexico State,Big West,11,259,453,57.2,3501,30,6.6,20,4.4,7.7,7.07,13.5,318.3,135.1,,1995
14,Marcus Crandell,East Carolina,Ind,11,235,447,52.6,2751,18,4.0,12,2.7,6.2,5.75,11.7,250.1,112.2,,1995
6,Charlie Batch,Eastern Michigan,MAC,11,244,421,58.0,3177,21,5.0,17,4.0,7.5,6.73,13.0,288.8,129.7,,1995
2,Jared Lorenzen,Kentucky,SEC,11,321,559,57.4,3687,19,3.4,21,3.8,6.6,5.58,11.5,335.2,116.5,,2000
3,Kliff Kingsbury,Texas Tech,Big 12,12,362,585,61.9,3418,21,3.6,17,2.9,5.8,5.25,9.4,284.8,117.0,,2000
1,Chris Weinke,Florida State,ACC,12,266,431,61.7,4167,33,7.7,11,2.6,9.7,10.05,15.7,347.3,163.1,1,2000
8,Luke Getsy*,Akron,MAC,13,278,525,53.0,3455,23,4.4,12,2.3,6.6,6.43,12.4,265.8,118.1,,2005
2,Cody Hodges*,Texas Tech,Big 12,12,353,531,66.5,4197,31,5.8,12,2.3,7.9,8.05,11.9,349.8,147.6,,2005
1,Colt Brennan,Hawaii,WAC,12,350,515,68.0,4301,35,6.8,13,2.5,8.4,8.57,12.3,358.4,155.5,,2005
2,Landry Jones*,Oklahoma,Big 12,14,405,617,65.6,4718,38,6.2,12,1.9,7.6,8.0,11.6,337.0,146.3,,2010
1,Bryant Moniz*,Hawaii,WAC,14,361,555,65.0,5040,39,7.0,15,2.7,9.1,9.27,14.0,360.0,159.1,,2010
4,Dominique Davis*,East Carolina,CUSA,13,393,609,64.5,3967,37,6.1,16,2.6,6.5,6.55,10.1,305.2,134.0,,2010
2,Matt Johnson*,Bowling Green,MAC,14,383,569,67.3,4946,46,8.1,8,1.4,8.7,9.68,12.9,353.3,164.2,,2015
5,Luke Falk*,Washington State,Pac-12,12,448,645,69.5,4566,38,5.9,8,1.2,7.1,7.7,10.2,380.5,145.9,,2015
4,Patrick Mahomes*,Texas Tech,Big 12,13,364,573,63.5,4653,36,6.3,15,2.6,8.1,8.2,12.8,357.9,147.2,,2015
2,Kyle Trask*,Florida,SEC,12,301,437,68.9,4283,43,9.8,8,1.8,9.8,10.95,14.2,356.9,180.0,4,2020
5,Dillon Gabriel*,UCF,American,10,248,413,60.0,3570,32,7.7,4,1.0,8.6,9.76,14.4,357.0,156.3,,2020
6,Brady White*,Memphis,American,11,254,420,60.5,3380,31,7.4,10,2.4,8.0,8.45,13.3,307.3,147.7,,2020
